doc_num,term,female_count,male_count,counts_equal,original_gender,term_type
0,amputat,0,0,True,female,physical_health
1,amputat,0,0,True,female,physical_health
2,amputat,0,0,True,female,physical_health
3,amputat,0,0,True,female,physical_health
4,amputat,0,0,True,female,physical_health
5,amputat,0,0,True,female,physical_health
6,amputat,0,0,True,female,physical_health
7,amputat,0,0,True,female,physical_health
8,amputat,0,0,True,female,physical_health
9,amputat,0,0,True,female,physical_health
10,amputat,0,0,True,female,physical_health
11,amputat,0,0,True,female,physical_health
12,amputat,0,0,True,female,physical_health
13,amputat,0,0,True,female,physical_health
14,amputat,0,0,True,female,physical_health
15,amputat,0,0,True,female,physical_health
16,amputat,0,0,True,female,physical_health
17,amputat,0,0,True,female,physical_health
18,amputat,0,0,True,female,physical_health
19,amputat,0,0,True,female,physical_health
20,amputat,0,0,True,female,physical_health
21,amputat,0,0,True,female,physical_health
22,amputat,0,0,True,female,physical_health
23,amputat,0,0,True,female,physical_health
24,amputat,0,0,True,female,physical_health
25,amputat,0,0,True,female,physical_health
26,amputat,0,0,True,female,physical_health
27,amputat,0,0,True,female,physical_health
28,amputat,0,0,True,female,physical_health
29,amputat,0,0,True,female,physical_health
30,amputat,0,0,True,female,physical_health
31,amputat,0,0,True,female,physical_health
32,amputat,0,0,True,female,physical_health
33,amputat,0,0,True,female,physical_health
34,amputat,0,0,True,female,physical_health
35,amputat,0,0,True,female,physical_health
36,amputat,0,0,True,female,physical_health
37,amputat,0,0,True,female,physical_health
38,amputat,0,0,True,female,physical_health
39,amputat,0,0,True,female,physical_health
40,amputat,0,0,True,female,physical_health
41,amputat,0,0,True,female,physical_health
42,amputat,0,0,True,female,physical_health
43,amputat,0,0,True,female,physical_health
44,amputat,0,0,True,female,physical_health
45,amputat,0,0,True,female,physical_health
46,amputat,0,0,True,female,physical_health
47,amputat,0,0,True,female,physical_health
48,amputat,0,0,True,female,physical_health
49,amputat,0,0,True,female,physical_health
50,amputat,0,0,True,female,physical_health
51,amputat,0,0,True,female,physical_health
52,amputat,0,0,True,female,physical_health
53,amputat,0,0,True,female,physical_health
54,amputat,0,0,True,female,physical_health
55,amputat,0,0,True,female,physical_health
56,amputat,0,0,True,female,physical_health
57,amputat,0,0,True,female,physical_health
58,amputat,0,0,True,female,physical_health
59,amputat,0,0,True,female,physical_health
60,amputat,0,0,True,female,physical_health
61,amputat,0,0,True,female,physical_health
62,amputat,0,0,True,female,physical_health
63,amputat,0,0,True,female,physical_health
64,amputat,0,0,True,female,physical_health
65,amputat,0,0,True,female,physical_health
66,amputat,0,0,True,female,physical_health
67,amputat,0,0,True,female,physical_health
68,amputat,0,0,True,female,physical_health
69,amputat,0,0,True,female,physical_health
70,amputat,0,0,True,female,physical_health
71,amputat,0,0,True,female,physical_health
72,amputat,0,0,True,female,physical_health
73,amputat,0,0,True,female,physical_health
74,amputat,0,0,True,female,physical_health
75,amputat,0,0,True,female,physical_health
76,amputat,0,0,True,female,physical_health
77,amputat,0,0,True,female,physical_health
78,amputat,0,0,True,female,physical_health
79,amputat,0,0,True,female,physical_health
80,amputat,0,0,True,female,physical_health
81,amputat,0,0,True,female,physical_health
82,amputat,0,0,True,female,physical_health
83,amputat,0,0,True,female,physical_health
84,amputat,0,0,True,female,physical_health
85,amputat,0,0,True,female,physical_health
86,amputat,0,0,True,female,physical_health
87,amputat,0,0,True,female,physical_health
88,amputat,0,0,True,female,physical_health
89,amputat,0,0,True,female,physical_health
90,amputat,0,0,True,female,physical_health
91,amputat,0,0,True,female,physical_health
92,amputat,0,0,True,female,physical_health
93,amputat,0,0,True,female,physical_health
94,amputat,0,0,True,female,physical_health
95,amputat,0,0,True,female,physical_health
96,amputat,0,0,True,female,physical_health
97,amputat,0,0,True,female,physical_health
98,amputat,0,0,True,female,physical_health
99,amputat,0,0,True,female,physical_health
100,amputat,0,0,True,female,physical_health
101,amputat,0,0,True,female,physical_health
102,amputat,0,0,True,female,physical_health
103,amputat,0,0,True,female,physical_health
104,amputat,0,0,True,female,physical_health
105,amputat,0,0,True,female,physical_health
106,amputat,0,0,True,female,physical_health
107,amputat,0,0,True,female,physical_health
108,amputat,0,0,True,female,physical_health
109,amputat,0,0,True,female,physical_health
110,amputat,0,0,True,female,physical_health
111,amputat,0,0,True,female,physical_health
112,amputat,0,0,True,female,physical_health
113,amputat,0,0,True,female,physical_health
114,amputat,0,0,True,female,physical_health
115,amputat,0,0,True,female,physical_health
116,amputat,0,0,True,female,physical_health
117,amputat,0,0,True,female,physical_health
118,amputat,0,0,True,female,physical_health
119,amputat,0,0,True,female,physical_health
120,amputat,0,0,True,female,physical_health
121,amputat,0,0,True,female,physical_health
122,amputat,0,0,True,female,physical_health
123,amputat,0,0,True,female,physical_health
124,amputat,0,0,True,female,physical_health
125,amputat,0,0,True,female,physical_health
126,amputat,0,0,True,female,physical_health
127,amputat,0,0,True,female,physical_health
128,amputat,0,0,True,female,physical_health
129,amputat,0,0,True,female,physical_health
130,amputat,0,0,True,female,physical_health
131,amputat,0,0,True,female,physical_health
132,amputat,0,0,True,female,physical_health
133,amputat,0,0,True,female,physical_health
134,amputat,0,0,True,female,physical_health
135,amputat,0,0,True,female,physical_health
0,angina,0,0,True,female,physical_health
1,angina,0,0,True,female,physical_health
2,angina,0,0,True,female,physical_health
3,angina,0,0,True,female,physical_health
4,angina,0,0,True,female,physical_health
5,angina,0,0,True,female,physical_health
6,angina,0,0,True,female,physical_health
7,angina,0,0,True,female,physical_health
8,angina,0,0,True,female,physical_health
9,angina,0,0,True,female,physical_health
10,angina,0,0,True,female,physical_health
11,angina,0,0,True,female,physical_health
12,angina,0,0,True,female,physical_health
13,angina,0,0,True,female,physical_health
14,angina,0,0,True,female,physical_health
15,angina,0,0,True,female,physical_health
16,angina,0,0,True,female,physical_health
17,angina,0,0,True,female,physical_health
18,angina,0,0,True,female,physical_health
19,angina,0,0,True,female,physical_health
20,angina,0,0,True,female,physical_health
21,angina,0,0,True,female,physical_health
22,angina,0,0,True,female,physical_health
23,angina,0,0,True,female,physical_health
24,angina,0,0,True,female,physical_health
25,angina,0,0,True,female,physical_health
26,angina,0,0,True,female,physical_health
27,angina,0,0,True,female,physical_health
28,angina,0,0,True,female,physical_health
29,angina,0,0,True,female,physical_health
30,angina,0,0,True,female,physical_health
31,angina,0,0,True,female,physical_health
32,angina,0,0,True,female,physical_health
33,angina,0,0,True,female,physical_health
34,angina,0,0,True,female,physical_health
35,angina,0,0,True,female,physical_health
36,angina,0,0,True,female,physical_health
37,angina,0,0,True,female,physical_health
38,angina,0,0,True,female,physical_health
39,angina,0,0,True,female,physical_health
40,angina,0,0,True,female,physical_health
41,angina,0,0,True,female,physical_health
42,angina,0,0,True,female,physical_health
43,angina,0,0,True,female,physical_health
44,angina,0,0,True,female,physical_health
45,angina,0,0,True,female,physical_health
46,angina,0,0,True,female,physical_health
47,angina,0,0,True,female,physical_health
48,angina,0,0,True,female,physical_health
49,angina,0,0,True,female,physical_health
50,angina,0,0,True,female,physical_health
51,angina,0,0,True,female,physical_health
52,angina,0,0,True,female,physical_health
53,angina,0,0,True,female,physical_health
54,angina,0,0,True,female,physical_health
55,angina,0,0,True,female,physical_health
56,angina,0,0,True,female,physical_health
57,angina,0,0,True,female,physical_health
58,angina,0,0,True,female,physical_health
59,angina,0,0,True,female,physical_health
60,angina,0,0,True,female,physical_health
61,angina,0,0,True,female,physical_health
62,angina,0,0,True,female,physical_health
63,angina,0,0,True,female,physical_health
64,angina,0,0,True,female,physical_health
65,angina,0,0,True,female,physical_health
66,angina,0,0,True,female,physical_health
67,angina,0,0,True,female,physical_health
68,angina,0,0,True,female,physical_health
69,angina,0,0,True,female,physical_health
70,angina,0,0,True,female,physical_health
71,angina,0,0,True,female,physical_health
72,angina,0,0,True,female,physical_health
73,angina,0,0,True,female,physical_health
74,angina,0,0,True,female,physical_health
75,angina,0,0,True,female,physical_health
76,angina,0,0,True,female,physical_health
77,angina,0,0,True,female,physical_health
78,angina,0,0,True,female,physical_health
79,angina,0,0,True,female,physical_health
80,angina,0,0,True,female,physical_health
81,angina,0,0,True,female,physical_health
82,angina,0,0,True,female,physical_health
83,angina,0,0,True,female,physical_health
84,angina,0,0,True,female,physical_health
85,angina,0,0,True,female,physical_health
86,angina,0,0,True,female,physical_health
87,angina,0,0,True,female,physical_health
88,angina,0,0,True,female,physical_health
89,angina,0,0,True,female,physical_health
90,angina,0,0,True,female,physical_health
91,angina,0,0,True,female,physical_health
92,angina,0,0,True,female,physical_health
93,angina,0,0,True,female,physical_health
94,angina,0,0,True,female,physical_health
95,angina,0,0,True,female,physical_health
96,angina,0,0,True,female,physical_health
97,angina,0,0,True,female,physical_health
98,angina,0,0,True,female,physical_health
99,angina,0,0,True,female,physical_health
100,angina,0,0,True,female,physical_health
101,angina,0,0,True,female,physical_health
102,angina,0,0,True,female,physical_health
103,angina,0,0,True,female,physical_health
104,angina,0,0,True,female,physical_health
105,angina,0,0,True,female,physical_health
106,angina,0,0,True,female,physical_health
107,angina,0,0,True,female,physical_health
108,angina,0,0,True,female,physical_health
109,angina,0,0,True,female,physical_health
110,angina,0,0,True,female,physical_health
111,angina,0,0,True,female,physical_health
112,angina,0,0,True,female,physical_health
113,angina,0,0,True,female,physical_health
114,angina,0,0,True,female,physical_health
115,angina,0,0,True,female,physical_health
116,angina,0,0,True,female,physical_health
117,angina,0,0,True,female,physical_health
118,angina,0,0,True,female,physical_health
119,angina,0,0,True,female,physical_health
120,angina,0,0,True,female,physical_health
121,angina,0,0,True,female,physical_health
122,angina,0,0,True,female,physical_health
123,angina,0,0,True,female,physical_health
124,angina,0,0,True,female,physical_health
125,angina,0,0,True,female,physical_health
126,angina,0,0,True,female,physical_health
127,angina,0,0,True,female,physical_health
128,angina,0,0,True,female,physical_health
129,angina,0,0,True,female,physical_health
130,angina,0,0,True,female,physical_health
131,angina,0,0,True,female,physical_health
132,angina,0,0,True,female,physical_health
133,angina,0,0,True,female,physical_health
134,angina,0,0,True,female,physical_health
135,angina,0,0,True,female,physical_health
0,arthritis,0,0,True,female,physical_health
1,arthritis,0,0,True,female,physical_health
2,arthritis,0,0,True,female,physical_health
3,arthritis,0,0,True,female,physical_health
4,arthritis,1,2,False,female,physical_health
5,arthritis,0,0,True,female,physical_health
6,arthritis,1,1,True,female,physical_health
7,arthritis,0,0,True,female,physical_health
8,arthritis,0,0,True,female,physical_health
9,arthritis,0,0,True,female,physical_health
10,arthritis,0,0,True,female,physical_health
11,arthritis,3,6,False,female,physical_health
12,arthritis,0,0,True,female,physical_health
13,arthritis,0,0,True,female,physical_health
14,arthritis,0,0,True,female,physical_health
15,arthritis,3,3,True,female,physical_health
16,arthritis,3,1,False,female,physical_health
17,arthritis,0,0,True,female,physical_health
18,arthritis,0,0,True,female,physical_health
19,arthritis,0,0,True,female,physical_health
20,arthritis,2,2,True,female,physical_health
21,arthritis,0,0,True,female,physical_health
22,arthritis,1,1,True,female,physical_health
23,arthritis,3,3,True,female,physical_health
24,arthritis,0,0,True,female,physical_health
25,arthritis,3,2,False,female,physical_health
26,arthritis,3,4,False,female,physical_health
27,arthritis,0,0,True,female,physical_health
28,arthritis,5,4,False,female,physical_health
29,arthritis,2,2,True,female,physical_health
30,arthritis,1,1,True,female,physical_health
31,arthritis,0,0,True,female,physical_health
32,arthritis,2,2,True,female,physical_health
