doc_num,term,female_count,male_count,counts_equal,original_gender,term_type
0,activities of daily living,0,0,True,female,physical_health
1,activities of daily living,0,0,True,female,physical_health
2,activities of daily living,0,0,True,female,physical_health
3,activities of daily living,0,0,True,female,physical_health
4,activities of daily living,0,0,True,female,physical_health
5,activities of daily living,0,0,True,female,physical_health
6,activities of daily living,0,0,True,female,physical_health
7,activities of daily living,0,0,True,female,physical_health
8,activities of daily living,0,0,True,female,physical_health
9,activities of daily living,0,0,True,female,physical_health
10,activities of daily living,0,0,True,female,physical_health
11,activities of daily living,0,0,True,female,physical_health
12,activities of daily living,0,0,True,female,physical_health
13,activities of daily living,0,0,True,female,physical_health
14,activities of daily living,0,0,True,female,physical_health
15,activities of daily living,0,0,True,female,physical_health
16,activities of daily living,0,0,True,female,physical_health
17,activities of daily living,0,0,True,female,physical_health
18,activities of daily living,0,0,True,female,physical_health
19,activities of daily living,0,0,True,female,physical_health
20,activities of daily living,0,0,True,female,physical_health
21,activities of daily living,0,0,True,female,physical_health
22,activities of daily living,0,0,True,female,physical_health
23,activities of daily living,0,0,True,female,physical_health
24,activities of daily living,0,0,True,female,physical_health
25,activities of daily living,0,0,True,female,physical_health
26,activities of daily living,0,0,True,female,physical_health
27,activities of daily living,0,0,True,female,physical_health
28,activities of daily living,0,0,True,female,physical_health
29,activities of daily living,0,0,True,female,physical_health
30,activities of daily living,0,0,True,female,physical_health
31,activities of daily living,0,0,True,female,physical_health
32,activities of daily living,0,0,True,female,physical_health
33,activities of daily living,0,0,True,female,physical_health
34,activities of daily living,0,0,True,female,physical_health
35,activities of daily living,0,0,True,female,physical_health
36,activities of daily living,0,0,True,female,physical_health
37,activities of daily living,0,0,True,female,physical_health
38,activities of daily living,0,0,True,female,physical_health
39,activities of daily living,0,0,True,female,physical_health
40,activities of daily living,0,0,True,female,physical_health
41,activities of daily living,0,0,True,female,physical_health
42,activities of daily living,0,0,True,female,physical_health
43,activities of daily living,0,0,True,female,physical_health
44,activities of daily living,0,0,True,female,physical_health
45,activities of daily living,0,0,True,female,physical_health
46,activities of daily living,0,0,True,female,physical_health
47,activities of daily living,0,0,True,female,physical_health
48,activities of daily living,0,0,True,female,physical_health
49,activities of daily living,0,0,True,female,physical_health
50,activities of daily living,0,0,True,female,physical_health
51,activities of daily living,0,0,True,female,physical_health
52,activities of daily living,0,0,True,female,physical_health
53,activities of daily living,0,0,True,female,physical_health
54,activities of daily living,0,0,True,female,physical_health
55,activities of daily living,0,0,True,female,physical_health
56,activities of daily living,0,0,True,female,physical_health
57,activities of daily living,0,0,True,female,physical_health
58,activities of daily living,0,0,True,female,physical_health
59,activities of daily living,0,0,True,female,physical_health
60,activities of daily living,0,0,True,female,physical_health
61,activities of daily living,0,0,True,female,physical_health
62,activities of daily living,0,0,True,female,physical_health
63,activities of daily living,0,0,True,female,physical_health
64,activities of daily living,0,0,True,female,physical_health
65,activities of daily living,0,0,True,female,physical_health
66,activities of daily living,0,0,True,female,physical_health
67,activities of daily living,0,0,True,female,physical_health
68,activities of daily living,0,0,True,female,physical_health
69,activities of daily living,0,0,True,female,physical_health
70,activities of daily living,0,0,True,female,physical_health
71,activities of daily living,0,0,True,female,physical_health
72,activities of daily living,0,0,True,female,physical_health
73,activities of daily living,0,0,True,female,physical_health
74,activities of daily living,0,0,True,female,physical_health
75,activities of daily living,0,0,True,female,physical_health
76,activities of daily living,0,0,True,female,physical_health
77,activities of daily living,0,0,True,female,physical_health
78,activities of daily living,0,0,True,female,physical_health
79,activities of daily living,0,0,True,female,physical_health
80,activities of daily living,0,0,True,female,physical_health
81,activities of daily living,0,0,True,female,physical_health
82,activities of daily living,0,0,True,female,physical_health
