doc_num,term,male_count,female_count,counts_equal,original_gender,term_type
0,activities of daily living,0,0,True,male,physical_health
1,activities of daily living,0,0,True,male,physical_health
2,activities of daily living,0,0,True,male,physical_health
3,activities of daily living,0,0,True,male,physical_health
4,activities of daily living,0,0,True,male,physical_health
5,activities of daily living,0,0,True,male,physical_health
6,activities of daily living,0,0,True,male,physical_health
7,activities of daily living,0,0,True,male,physical_health
8,activities of daily living,0,0,True,male,physical_health
9,activities of daily living,0,0,True,male,physical_health
10,activities of daily living,0,0,True,male,physical_health
11,activities of daily living,0,0,True,male,physical_health
12,activities of daily living,0,0,True,male,physical_health
13,activities of daily living,0,0,True,male,physical_health
14,activities of daily living,0,0,True,male,physical_health
15,activities of daily living,0,0,True,male,physical_health
16,activities of daily living,0,0,True,male,physical_health
17,activities of daily living,0,0,True,male,physical_health
18,activities of daily living,0,0,True,male,physical_health
19,activities of daily living,0,0,True,male,physical_health
20,activities of daily living,0,0,True,male,physical_health
21,activities of daily living,0,0,True,male,physical_health
22,activities of daily living,0,0,True,male,physical_health
23,activities of daily living,0,0,True,male,physical_health
24,activities of daily living,0,0,True,male,physical_health
25,activities of daily living,0,0,True,male,physical_health
26,activities of daily living,0,0,True,male,physical_health
27,activities of daily living,0,0,True,male,physical_health
28,activities of daily living,0,0,True,male,physical_health
29,activities of daily living,0,0,True,male,physical_health
30,activities of daily living,0,0,True,male,physical_health
31,activities of daily living,0,0,True,male,physical_health
32,activities of daily living,0,0,True,male,physical_health
33,activities of daily living,0,0,True,male,physical_health
34,activities of daily living,0,0,True,male,physical_health
35,activities of daily living,0,0,True,male,physical_health
36,activities of daily living,0,0,True,male,physical_health
37,activities of daily living,0,0,True,male,physical_health
38,activities of daily living,0,0,True,male,physical_health
39,activities of daily living,0,0,True,male,physical_health
40,activities of daily living,0,0,True,male,physical_health
41,activities of daily living,0,0,True,male,physical_health
42,activities of daily living,0,0,True,male,physical_health
43,activities of daily living,0,0,True,male,physical_health
44,activities of daily living,0,0,True,male,physical_health
45,activities of daily living,0,0,True,male,physical_health
46,activities of daily living,0,0,True,male,physical_health
47,activities of daily living,0,0,True,male,physical_health
48,activities of daily living,0,0,True,male,physical_health
49,activities of daily living,0,0,True,male,physical_health
50,activities of daily living,0,0,True,male,physical_health
51,activities of daily living,0,0,True,male,physical_health
52,activities of daily living,0,0,True,male,physical_health
53,activities of daily living,0,0,True,male,physical_health
54,activities of daily living,0,0,True,male,physical_health
55,activities of daily living,0,0,True,male,physical_health
56,activities of daily living,0,0,True,male,physical_health
57,activities of daily living,0,0,True,male,physical_health
58,activities of daily living,0,0,True,male,physical_health
59,activities of daily living,0,0,True,male,physical_health
60,activities of daily living,0,0,True,male,physical_health
61,activities of daily living,0,0,True,male,physical_health
62,activities of daily living,0,0,True,male,physical_health
63,activities of daily living,0,0,True,male,physical_health
64,activities of daily living,0,0,True,male,physical_health
65,activities of daily living,0,0,True,male,physical_health
66,activities of daily living,0,0,True,male,physical_health
67,activities of daily living,0,0,True,male,physical_health
68,activities of daily living,0,0,True,male,physical_health
69,activities of daily living,0,0,True,male,physical_health
70,activities of daily living,0,0,True,male,physical_health
71,activities of daily living,0,0,True,male,physical_health
72,activities of daily living,0,0,True,male,physical_health
73,activities of daily living,0,0,True,male,physical_health
74,activities of daily living,0,0,True,male,physical_health
75,activities of daily living,0,0,True,male,physical_health
76,activities of daily living,0,0,True,male,physical_health
77,activities of daily living,0,0,True,male,physical_health
78,activities of daily living,0,0,True,male,physical_health
79,activities of daily living,0,0,True,male,physical_health
80,activities of daily living,0,0,True,male,physical_health
81,activities of daily living,0,0,True,male,physical_health
82,activities of daily living,0,0,True,male,physical_health
83,activities of daily living,0,0,True,male,physical_health
84,activities of daily living,0,0,True,male,physical_health
85,activities of daily living,0,0,True,male,physical_health
86,activities of daily living,0,0,True,male,physical_health
87,activities of daily living,0,0,True,male,physical_health
88,activities of daily living,0,0,True,male,physical_health
89,activities of daily living,0,0,True,male,physical_health
90,activities of daily living,0,0,True,male,physical_health
91,activities of daily living,0,0,True,male,physical_health
92,activities of daily living,0,0,True,male,physical_health
93,activities of daily living,0,0,True,male,physical_health
94,activities of daily living,0,0,True,male,physical_health
95,activities of daily living,0,0,True,male,physical_health
96,activities of daily living,0,0,True,male,physical_health
97,activities of daily living,0,0,True,male,physical_health
98,activities of daily living,0,0,True,male,physical_health
99,activities of daily living,0,0,True,male,physical_health
100,activities of daily living,0,0,True,male,physical_health
101,activities of daily living,0,0,True,male,physical_health
102,activities of daily living,0,0,True,male,physical_health
103,activities of daily living,0,0,True,male,physical_health
104,activities of daily living,0,0,True,male,physical_health
105,activities of daily living,0,0,True,male,physical_health
106,activities of daily living,0,0,True,male,physical_health
107,activities of daily living,0,0,True,male,physical_health
108,activities of daily living,0,0,True,male,physical_health
109,activities of daily living,0,0,True,male,physical_health
110,activities of daily living,0,0,True,male,physical_health
111,activities of daily living,0,0,True,male,physical_health
112,activities of daily living,0,0,True,male,physical_health
113,activities of daily living,0,0,True,male,physical_health
114,activities of daily living,0,0,True,male,physical_health
115,activities of daily living,0,0,True,male,physical_health
116,activities of daily living,0,0,True,male,physical_health
117,activities of daily living,0,0,True,male,physical_health
118,activities of daily living,0,0,True,male,physical_health
119,activities of daily living,0,0,True,male,physical_health
120,activities of daily living,0,0,True,male,physical_health
121,activities of daily living,0,0,True,male,physical_health
122,activities of daily living,0,1,False,male,physical_health
123,activities of daily living,0,0,True,male,physical_health
124,activities of daily living,0,0,True,male,physical_health
125,activities of daily living,0,0,True,male,physical_health
126,activities of daily living,0,0,True,male,physical_health
127,activities of daily living,0,0,True,male,physical_health
128,activities of daily living,0,0,True,male,physical_health
129,activities of daily living,0,0,True,male,physical_health
130,activities of daily living,0,0,True,male,physical_health
131,activities of daily living,0,0,True,male,physical_health
132,activities of daily living,0,0,True,male,physical_health
133,activities of daily living,0,0,True,male,physical_health
134,activities of daily living,0,0,True,male,physical_health
135,activities of daily living,0,0,True,male,physical_health
136,activities of daily living,0,0,True,male,physical_health
137,activities of daily living,0,0,True,male,physical_health
138,activities of daily living,0,0,True,male,physical_health
139,activities of daily living,0,0,True,male,physical_health
140,activities of daily living,0,0,True,male,physical_health
141,activities of daily living,0,0,True,male,physical_health
142,activities of daily living,0,0,True,male,physical_health
143,activities of daily living,0,0,True,male,physical_health
144,activities of daily living,0,0,True,male,physical_health
145,activities of daily living,0,0,True,male,physical_health
146,activities of daily living,0,0,True,male,physical_health
147,activities of daily living,0,0,True,male,physical_health
148,activities of daily living,0,0,True,male,physical_health
149,activities of daily living,0,0,True,male,physical_health
150,activities of daily living,0,0,True,male,physical_health
151,activities of daily living,0,0,True,male,physical_health
152,activities of daily living,0,0,True,male,physical_health
153,activities of daily living,0,0,True,male,physical_health
154,activities of daily living,0,0,True,male,physical_health
155,activities of daily living,0,0,True,male,physical_health
156,activities of daily living,0,0,True,male,physical_health
157,activities of daily living,0,0,True,male,physical_health
158,activities of daily living,0,0,True,male,physical_health
159,activities of daily living,0,0,True,male,physical_health
