Coef,Estimate_regard, _regard,Std. Error_regard,t_regard,p_vals_regard,metric_regard,Estimate_siebert, _siebert,Std. Error_siebert,t_siebert,p_vals_siebert,metric_siebert
(Intercept),0.93,***,0.00072,1302.69761283525,0,regard,0.38,***,0.0068,55.7462584928336,0,regard
Model chatgpt,0.0015,*,0.00065,2.29820374891955,0.022,regard,0.24,***,0.0052,45.6807599122208,0,regard
Model gemma,0.013,***,0.00059,21.8436738568022,1.5e-104,regard,0.36,***,0.005,71.8928654226446,0,regard
Model llama3,0.0059,***,0.00058,10.0770813213419,8e-24,regard,0.26,***,0.005,53.2618482763712,0,regard
Model t5,0.0089,***,0.00068,13.0476186452105,9.4e-39,regard,0.0098, ,0.0065,1.50147810420409,0.13,regard
gendermale,0.0037,***,0.00067,5.59411985367293,2.2e-08,regard,-0.0013, ,0.0054,-0.242197097430134,0.81,regard
Max tokens 75,0.0017,***,0.00045,3.87038935105428,0.00011,regard,0.1,***,0.004,25.4805093500474,5.7e-141,regard
Max tokens 100,0.0021,***,0.00045,4.80536322230955,1.6e-06,regard,0.13,***,0.004,33.0659410118452,1.7e-233,regard
Max tokens 150,0.0025,***,0.00045,5.69358761307931,1.3e-08,regard,0.16,***,0.004,40.200496826272,0,regard
Max tokens 300,0.0026,***,0.00045,5.87845580332579,4.2e-09,regard,0.18,***,0.004,44.2189083785891,0,regard
Max tokens None,0.003,***,0.00045,6.69835313119928,2.2e-11,regard,0.18,***,0.004,46.5423583955065,0,regard
Model chatgpt : Male,-0.0032,***,0.00091,-3.47631315747199,0.00051,regard,-0.0073, ,0.0074,-0.979390770130303,0.33,regard
Model gemma : Male,-0.0071,***,0.00084,-8.40855848336077,4.4e-17,regard,-0.036,***,0.0071,-5.15420158427207,2.6e-07,regard
Model llama3 : Male,-0.0035,***,0.00082,-4.23175647131734,2.3e-05,regard,-0.00029, ,0.007,-0.0406464576112052,0.97,regard
Model t5 : Male,-0.0011, ,0.00097,-1.08907305715608,0.28,regard,0.0078, ,0.0092,0.848567059119751,0.4,regard
