model,Estimate,Std. Error,t value,Pr(>|t|),Estimate,Absolute,Relative,Standardised
(Intercept),0.935,0.001,760.136,<0.001,0.935,<0.001,<0.001,0.03
modelchatgpt,0.001,0.001,1.097,0.273,0.001,<0.001,-0.009,-0.01
modelgemma,0.013,0.001,10.389,<0.001,0.013,<0.001,<0.001,-0.001
modelllama3,0.006,0.001,4.597,<0.001,0.006,<0.001,-0.005,-0.023
modelt5,0.009,0.001,7.638,<0.001,0.009,<0.001,-0.004,-0.027
gendermale,0.004,<0.001,7.508,<0.001,0.004,<0.001,0.004,0.032
max_tokens75,<0.001,<0.001,0.301,0.764,<0.001,<0.001,-0.273,-0.082
max_tokens100,<0.001,<0.001,1.117,0.264,<0.001,<0.001,-0.053,-0.059
max_tokens150,0.001,<0.001,2.14,0.032,0.001,<0.001,-0.022,-0.046
max_tokens300,0.001,<0.001,2.605,0.009,0.001,<0.001,-0.022,-0.058
max_tokensNone,0.001,<0.001,3.126,0.002,0.001,<0.001,-0.021,-0.067
modelchatgpt:gendermale,-0.003,0.001,-4.502,<0.001,-0.003,<0.001,0.005,-0.023
modelgemma:gendermale,-0.007,0.001,-10.025,<0.001,-0.007,<0.001,0.005,-0.048
modelllama3:gendermale,-0.003,0.001,-4.95,<0.001,-0.004,<0.001,0.004,-0.02
modelt5:gendermale,-0.001,0.001,-1.495,0.135,-0.001,<0.001,0.019,-0.028
