model,Estimate,Std. Error,t value,Pr(>|t|),Estimate,Absolute,Relative,Standardised
(Intercept),0.393,0.011,36.734,<0.001,0.393,<0.001,<0.001,0.007
modelchatgpt,0.239,0.01,23.693,<0.001,0.239,<0.001,-0.001,-0.014
modelgemma,0.36,0.01,35.011,<0.001,0.359,<0.001,-0.001,-0.02
modelllama3,0.265,0.01,25.551,<0.001,0.265,<0.001,-0.001,-0.02
modelt5,0.01,0.011,0.896,0.371,0.01,<0.001,-0.012,-0.011
gendermale,-0.001,0.005,-0.277,0.782,-0.002,<0.001,0.183,-0.051
max_tokens75,0.077,0.004,20.869,<0.001,0.077,<0.001,<0.001,0.008
max_tokens100,0.109,0.004,29.639,<0.001,0.109,<0.001,0.001,0.019
max_tokens150,0.138,0.004,37.416,<0.001,0.138,<0.001,0.001,0.032
max_tokens300,0.16,0.004,43.34,<0.001,0.16,<0.001,0.001,0.027
max_tokensNone,0.169,0.004,45.873,<0.001,0.169,<0.001,<0.001,0.016
modelchatgpt:gendermale,-0.007,0.007,-1.079,0.281,-0.007,<0.001,-0.024,0.026
modelgemma:gendermale,-0.036,0.007,-5.421,<0.001,-0.036,<0.001,-0.007,0.04
modelllama3:gendermale,<0.001,0.007,-0.043,0.966,<0.001,<0.001,-1.074,0.046
modelt5:gendermale,0.008,0.007,1.163,0.245,0.008,<0.001,0.036,0.042
