t_test_p,corr,corr_p,diff,effsize,magnitude,t_signif,corr_signif,model,gender_direction,max_tokens
,,,,,,,,,,
,,,,,,,,,,
3.98e-09,0.0713652905243811,0.310424941862294,-0.144807114667729,-0.430803407271482,small,***, ,gemma,mf,50
5.07e-05,0.263575105093001,0.000139502464957981,-0.0361516961207676,-0.289922607583363,small,***,***,gemma,mf,None
0.000145,0.54545763120373,3.28741540210368e-17,-0.0566139312066013,-0.271136894641453,small,***,***,chatgpt,mf,75
0.00172,0.0073195285343794,0.932600965915197,-0.0708365248299877,-0.274261208632372,small,**, ,gemma,fm,75
0.002,0.286848938066207,0.00070979272607963,-0.034007719255011,-0.270236762633304,small,**,***,gemma,fm,300
0.00275,0.189274887163604,0.0273196407454826,-0.0536635729051015,-0.2615446380347,small,**,*,gemma,fm,100
0.00445,0.21298039142672,0.0127936407619495,-0.0837667079162377,-0.248045591458783,small,**,*,gemma,fm,50
0.00594,0.604174227761253,1.1021793388015e-21,0.047707439739134,0.194663579264372,negligible,**,***,t5,mf,75
0.0145,0.45256757222791,3.1735517030837e-08,0.0582474081668505,0.212344289814648,small,*,***,t5,fm,75
0.0405,0.681043378795107,7.32135695397531e-20,-0.0390528306897059,-0.177333835641103,negligible,*,***,t5,fm,50
0.0597,0.662454234218176,1.58835230876092e-18,0.0312868546410539,0.162860405668585,negligible,.,***,t5,fm,150
0.0618,0.759645155631272,8.22774690684788e-27,-0.023105615929473,-0.161496998684484,negligible,.,***,bart,fm,100
0.0618,0.759645155631272,8.22774690684788e-27,-0.023105615929473,-0.161496998684484,negligible,.,***,bart,fm,150
0.0618,0.759645155631272,8.22774690684788e-27,-0.023105615929473,-0.161496998684484,negligible,.,***,bart,fm,300
0.0618,0.759645155631272,8.22774690684788e-27,-0.023105615929473,-0.161496998684484,negligible,.,***,bart,fm,None
0.0714,0.418663810130706,3.92961809374606e-07,0.0154523247113081,0.155823535087122,negligible,.,***,chatgpt,fm,300
0.0931,0.42743620329953,1.81652035509807e-10,-0.0273815856958987,-0.118137059672945,negligible,.,***,t5,mf,None
0.108,0.592417095336503,3.03044766760666e-14,0.0292031147118873,0.138789262370123,negligible, ,***,t5,fm,300
0.124,0.534608339621918,1.78219306365602e-16,-0.00941939106932327,-0.108217681429355,negligible, ,***,chatgpt,mf,300
0.19,0.584675710882934,4.2550578800073e-20,0.0193626646202614,0.0921593458888308,negligible, ,***,t5,mf,300
0.201,0.760263676513174,7.08250297532553e-27,-0.0157743213095588,-0.110128541113685,negligible, ,***,bart,fm,75
0.205,0.811168893562851,5.96756676637774e-49,0.0126416757680556,0.0891090237923783,negligible, ,***,bart,mf,50
0.26,0.608105665673955,5.11719566431334e-22,-0.020848228800817,-0.0791286723977418,negligible, ,***,chatgpt,mf,50
0.264,0.504866554294427,1.36075216167774e-14,0.0124639420550327,0.0783542141677992,negligible, ,***,chatgpt,mf,100
0.27,0.468085209383163,9.12596485821688e-09,-0.0112652865265182,-0.0949373669130096,negligible, ,***,chatgpt,fm,150
0.289,0.515828388937224,1.30368406871266e-10,-0.0249891699182598,-0.0913465311290812,negligible, ,***,chatgpt,fm,50
